feature,coefficient,abs_coefficient
PageValues,2.3150875947160117,2.3150875947160117
ExitRates,-0.6399517607740888,0.6399517607740888
Month_May,-0.3868292444837957,0.3868292444837957
Month_Mar,-0.2725924825266485,0.2725924825266485
Month_Dec,-0.23984609365589493,0.23984609365589493
Month_Nov,0.22416065634868435,0.22416065634868435
TrafficType_15,-0.21940800370275884,0.21940800370275884
Month_Feb,-0.19760773234856296,0.19760773234856296
ProductRelated_Duration,0.16860181124629095,0.16860181124629095
TrafficType_2,0.1667210053683358,0.1667210053683358
Browser_3,-0.1384047377185425,0.1384047377185425
TrafficType_8,0.13640489018430532,0.13640489018430532
OperatingSystems_2,0.12173034994014223,0.12173034994014223
TrafficType_13,-0.1155682879454712,0.1155682879454712
TrafficType_18,-0.1111845031232649,0.1111845031232649
Browser_2,-0.10472101190158224,0.10472101190158224
TrafficType_10,0.10386725154137842,0.10386725154137842
Administrative,0.0997495699516259,0.0997495699516259
TrafficType_20,0.09661252974773112,0.09661252974773112
TrafficType_19,-0.080884611371509,0.080884611371509
Region_9,-0.07568758359641617,0.07568758359641617
TrafficType_5,0.06990681991511938,0.06990681991511938
Browser_6,-0.06749002718954898,0.06749002718954898
Informational,0.06716014476243456,0.06716014476243456
Region_5,-0.0657670075524596,0.0657670075524596
TrafficType_16,-0.060022683443495754,0.060022683443495754
Administrative_Duration,-0.05787415343929018,0.05787415343929018
Region_2,0.05542190264203498,0.05542190264203498
TrafficType_4,0.053193344484025094,0.053193344484025094
TrafficType_11,0.05298355428331908,0.05298355428331908
ProductRelated,0.05156706573966016,0.05156706573966016
Weekend,0.04881481319723542,0.04881481319723542
OperatingSystems_3,0.048648714461718645,0.048648714461718645
Browser_12,0.04669914559429751,0.04669914559429751
Month_Jul,0.04538082441872829,0.04538082441872829
Month_June,-0.04490311928930859,0.04490311928930859
Region_8,0.04329516283783537,0.04329516283783537
Browser_7,-0.03880097038547798,0.03880097038547798
Month_Sep,0.038468861903558096,0.038468861903558096
Region_4,-0.03540919651399173,0.03540919651399173
Browser_9,-0.035393392824365794,0.035393392824365794
TrafficType_7,0.03356041352776852,0.03356041352776852
TrafficType_17,-0.03114945931532919,0.03114945931532919
Region_6,0.03091387970599279,0.03091387970599279
OperatingSystems_7,0.02536799768054536,0.02536799768054536
Browser_8,0.024509951484785592,0.024509951484785592
TrafficType_6,0.022923076672009195,0.022923076672009195
Browser_5,-0.019716392145168633,0.019716392145168633
Browser_13,0.01879748092482201,0.01879748092482201
OperatingSystems_4,0.01739710210780207,0.01739710210780207
TrafficType_3,-0.016047458019418828,0.016047458019418828
TrafficType_14,0.013010431216196956,0.013010431216196956
OperatingSystems_8,-0.010578970167111264,0.010578970167111264
Region_7,0.01036161861297916,0.01036161861297916
OperatingSystems_5,-0.010215978137148982,0.010215978137148982
Browser_11,-0.010215978137148982,0.010215978137148982
OperatingSystems_6,-0.008063733344701264,0.008063733344701264
VisitorType_Other,-0.006312498476172743,0.006312498476172743
VisitorType_Returning_Visitor,-0.005874706790531387,0.005874706790531387
BounceRates,0.005032782830812406,0.005032782830812406
Browser_4,-0.004931415594778636,0.004931415594778636
Month_Oct,-0.004850466263618572,0.004850466263618572
Informational_Duration,-0.004387146294394236,0.004387146294394236
Browser_10,-0.0043521071412221226,0.0043521071412221226
Region_3,0.003688703268317812,0.003688703268317812
TrafficType_9,0.0024124798491436056,0.0024124798491436056
SpecialDay,0.001694685130715834,0.001694685130715834
TrafficType_12,0.0,0.0
